"Time / s","Am1-source:Measured current","AmD1:Measured current","AmD4:Measured current","AmD3:Measured current","AmD2:Measured current","VmD1:Measured voltage","VmD4:Measured voltage","VmD3:Measured voltage","VmD2:Measured voltage","VmC1:Measured voltage"
0.0025709999999999999,0,0,0,0,0,-11.660788805920138,-3.0316678923010203,-3.0316678923010203,-11.660788805920138,14.692456698221157
0.0025720000000000001,0,0,0,0,0,-11.710043459160904,-2.9677281261422515,-2.9677281261422515,-11.710043459160904,14.677771585303155
0.0025729999999999998,0,0,0,0,0,-11.759132885467958,-2.903968264690004,-2.903968264690004,-11.759132885467958,14.663101150157962
0.0025739999999999999,0,0,0,0,0,-11.808054849957882,-2.8403905281572577,-2.8403905281572577,-11.808054849957882,14.64844537811514
0.002575,0,0,0,0,0,-11.856807124654914,-2.7769971298640046,-2.7769971298640046,-11.856807124654914,14.633804254518918
0.0025759999999999997,0,0,0,0,0,-11.905387488578945,-2.713790276149223,-2.713790276149223,-11.905387488578945,14.619177764728169
0.0025769999999999999,0,0,0,0,0,-11.953793727832764,-2.6507721662836383,-2.6507721662836383,-11.953793727832764,14.604565894116403
0.002578,0,0,0,0,0,-12.002023635689177,-2.5879449923825719,-2.5879449923825719,-12.002023635689177,14.589968628071748
0.0025789999999999997,0,0,0,0,0,-12.050075012677834,-2.5253109393191044,-2.5253109393191044,-12.050075012677834,14.575385951996937
0.0025799999999999998,0,0,0,0,0,-12.09794566667177,-2.4628721846375248,-2.4628721846375248,-12.09794566667177,14.560817851309293
0.002581,0,0,0,0,0,-12.145633412973677,-2.4006308984670364,-2.4006308984670364,-12.145633412973677,14.546264311440714
0.0025820000000000001,0,0,0,0,0,-12.193136074401739,-2.3385892434359192,-2.3385892434359192,-12.193136074401739,14.531725317837658
0.0025829999999999998,0,0,0,0,0,-12.240451481375434,-2.2767493745856973,-2.2767493745856973,-12.240451481375434,14.51720085596113
0.0025839999999999999,0,0,0,0,0,-12.28757747200093,-2.2151134392857381,-2.2151134392857381,-12.28757747200093,14.502690911286669
0.0025850000000000001,0,0,0,0,0,-12.334511892155859,-2.1536835771484668,-2.1536835771484668,-12.334511892155859,14.488195469304326
0.0025859999999999998,0,0,0,0,0,-12.381252595574377,-2.0924619199442853,-2.0924619199442853,-12.381252595574377,14.473714515518662
