time,Vo,Io,VC1,ILr
1.740544181929361e-05,8.659992134944586,34.639968539778344,-1205.2358082027263,-1.0132339411939029e-11
1.7405441819293828e-05,8.6599921349446,34.6399685397784,-1205.2358082027263,6.217248937900877e-14
1.7520722332067676e-05,8.672413109378702,34.68965243751481,-1200.0397959498023,5.398411038174482
1.770431042807136e-05,8.713994271622717,34.85597708649087,-1170.9138422958333,13.57680833292596
1.7887898524075042e-05,8.78012252406075,35.120490096243,-1118.1121127347683,20.834774458380437
1.8071486620078726e-05,8.866955113087899,35.467820452351596,-1045.109542899453,26.74845121125702
1.825507471608241e-05,8.969287197393959,35.877148789575834,-956.5484288631868,30.980510910913562
1.8478977220134743e-05,9.106000299995815,36.42400119998326,-835.6887676264917,33.53720402791021
1.8702879724187077e-05,9.244503372404136,36.97801348961654,-710.9073475900295,33.08047749426791
1.892678222823941e-05,9.372487924091766,37.489951696367065,-593.3251374137105,29.69991149155561
1.9150684732291746e-05,9.478629777957199,37.914519111828795,-493.24269974626753,23.743392203597985
1.937458723634408e-05,9.55353852379467,38.21415409517868,-419.238086119312,15.782156568365059
1.9598489740396414e-05,9.590563463826646,38.362253855306584,-377.43206442458865,6.5564700750068265
1.9734022933106868e-05,9.593031480268122,38.37212592107249,-369.23055088076035,0.7051005274606057
1.9734022933107085e-05,9.593031480268115,38.37212592107246,-369.23055088075785,0.7051005274512696
1.985398556369215e-05,9.588849533293775,38.3553981331751,-368.52568914734104,1.2623790901500342e-12
1.985398556369237e-05,9.588849533293768,38.35539813317507,-368.52568914734104,-8.104628079763643e-15
1.9973948194277435e-05,9.585614946946208,38.34245978778483,-369.2289573711637,-0.7021891791060464
1.9999999999999995e-05,9.585041375440225,38.3401655017609,-369.5808814456777,-0.8545361411882221
2.0000000000000212e-05,9.585041375440222,38.340165501760886,-369.5808814456809,-0.8545361411894801
2.0000000000000435e-05,9.585041375440218,38.34016550176087,-369.5808814456841,-0.8545361411907686
2.0006971361198248e-05,9.584863581827127,38.33945432730851,-369.6258317566467,-9.102441023145502e-14
2.0006971361198465e-05,9.58486358182712,38.33945432730848,-369.62583175664656,2.6469160196995745e-11
2.0007316605515798e-05,9.584850481279366,38.339401925117464,-369.625710121951,0.042190246792841654
2.0007316605516015e-05,9.584850481279359,38.339401925117436,-369.62571012195076,0.042190246819339985
2.0007661849833348e-05,9.584837334750777,38.33934933900311,-369.62538323409433,0.07142933639959262
2.0009388071420015e-05,9.584774299843588,38.33909719937435,-369.62122531139846,0.21761074562808486
2.0018019179353347e-05,9.584526537763335,38.33810615105334,-369.5373736361883,0.9481394344082981
2.006117471902001e-05,9.584968159670153,38.33987263868061,-367.5456883407439,4.587913081724491
2.021168710301269e-05,9.608022045086477,38.43208818034591,-340.4545097851718,16.95514180030984
2.036219948700537e-05,9.663036703592017,38.652146814368066,-283.35784850490006,28.469819639563568
2.051271187099805e-05,9.746926793372417,38.98770717348967,-198.96983313221872,38.67761416522229
2.0663224254990732e-05,9.855467177069293,39.421868708277174,-91.07184410565725,47.18338714400184
2.084530450789188e-05,10.012099118221665,40.04839647288666,64.00231927015322,54.74179975960976
2.102738476079303e-05,10.18649748970798,40.74598995883192,236.97189577211253,58.95343331429211
2.120946501369418e-05,10.367040419353401,41.468161677413605,417.36200221293973,59.62649293682151
2.139154526659533e-05,10.541880745852067,42.16752298340827,594.4373622084437,56.78121444176837
2.157362551949648e-05,10.699616049032485,42.79846419612994,757.8403077498535,50.645189274060606
2.1755705772397628e-05,10.829955817545715,43.31982327018286,898.1958688139115,41.63644369895414
2.1937786025298777e-05,10.924310607258676,43.6972424290347,1007.6486840769559,30.33556244553595
2.2119866278199926e-05,10.976270936700345,43.90508374680138,1080.3011852854197,17.44868432344937
2.2263774438245557e-05,10.984708716457266,43.938834865829065,1109.2199285216564,6.659001271638312
2.2263774438245774e-05,10.984708716457256,43.93883486582902,1109.2199285216802,6.659001271621905
2.2445854691146924e-05,10.986003706545699,43.944014826182794,1120.2158735900682,0.5805895348115886
2.2463076340241716e-05,10.987095609756087,43.94838243902435,1120.2944076437511,7.460698725481052e-14
2.2463076340241933e-05,10.987095609756102,43.94838243902441,1120.2944076437511,-7.219114195322618e-12
2.2645156593143083e-05,11.008664409029626,44.0346576361185,1111.1532803814534,-5.999792670402177
2.2827236846044232e-05,11.04785487132545,44.1914194853018,1084.4122703380508,-11.570073980618204
2.300931709894538e-05,11.102624283853832,44.410497135415326,1041.8706610090076,-16.38760368486757
2.3239922784847293e-05,11.189414064178676,44.757656256714704,969.7437319814138,-20.980946425968277
2.3470528470749204e-05,11.288336548867184,45.153346195468735,883.8389466380987,-23.532063592183647
2.3701134156651116e-05,11.390183912272928,45.56073564909171,792.4351556669122,-23.835559436419594
2.3931739842553027e-05,11.485401824519801,45.941607298079205,704.1883286908285,-21.900952584929264
2.416234552845494e-05,11.564955548542247,46.25982219416899,627.310510524162,-17.948324604980375
2.439295121435685e-05,11.621174576416179,46.484698305664715,568.8039416216027,-12.384141121166166
2.4623556900258762e-05,11.648453241671598,46.59381296668639,533.8216545425228,-5.759924281631443
2.4781866773129798e-05,11.648756943953378,46.59502777581351,524.9983112755576,-0.9281150340852774
2.4781866773130093e-05,11.648756943953362,46.59502777581345,524.9983112755531,-0.9281150340762707
2.4999999999999734e-05,11.638597313792218,46.55438925516887,521.990933687197,-0.7256152261894917
2.499999999999995e-05,11.638597313792207,46.55438925516883,521.9909336871945,-0.7256152261892856
2.5000000000000228e-05,11.638597313792195,46.55438925516878,521.9909336871909,-0.7256152261890212
2.5000000000000445e-05,11.638597313792186,46.55438925516874,521.9909336871882,-0.725615226210105
2.5147267092499568e-05,11.65019817411093,46.60079269644372,502.9107193696828,-14.775655597611397
2.529453418499869e-05,11.69758688413573,46.79034753654292,450.2189190264974,-28.06890540097691
2.5441801277497813e-05,11.77787688835262,47.11150755341048,366.39830037416675,-40.100040346783615
2.5589068369996935e-05,11.887070619763124,47.548282479052496,255.1046287426625,-50.42001390396024
2.5736335462496058e-05,12.019920193474402,48.07968077389761,121.00918077267204,-58.65178039607901
2.591622540188525e-05,12.205212561483998,48.82085024593599,-65.52230373634316,-65.45450827401731
2.6096115341274443e-05,12.40431091486714,49.61724365946856,-266.6724525066745,-68.38634522094276
2.6276005280663636e-05,12.604149937522662,50.41659975009065,-470.6498349743222,-67.34325153822923
2.645589522005283e-05,12.79177072211943,51.16708288847772,-665.6977249677923,-62.45194237202069
2.663578515944202e-05,12.95502967693896,51.82011870775584,-840.7710744054062,-54.05883979374821
2.6815675098831214e-05,13.083286648072088,52.33314659228835,-986.1613295103547,-42.706455424444684
2.6995565038220407e-05,13.167993698602254,52.67197479440902,-1094.0338360359633,-29.09886471764019
2.71754549776096e-05,13.203153575102371,52.812614300409486,-1158.8483110410714,-14.05844173079487
2.7238527307384456e-05,13.20310333764527,52.81241335058108,-1170.7556078310517,-8.59592706129189
2.7238527307384673e-05,13.203103337645256,52.812413350581025,-1170.7556078310824,-8.595927061273109
2.7418417246773865e-05,13.203246728757888,52.81298691503155,-1186.8654820886256,-2.1354972090176156
2.7477090580568485e-05,13.207497769720202,52.82999107888081,-1187.9062622708198,-4.618527782440651e-14
2.7477090580568702e-05,13.207497769720224,52.829991078880894,-1187.9062622708198,7.8053119523247e-12
2.7656980519957895e-05,13.233314560662102,52.93325824264841,-1178.2509627371655,6.4149610892578535
2.7836870459347088e-05,13.277475623587733,53.10990249435093,-1149.9905060210508,12.380580681996104
2.801676039873628e-05,13.338020893134729,53.352083572538916,-1104.9847318667228,17.558560390081773
2.8244457149354354e-05,13.432955080061785,53.73182032024714,-1028.5830354158181,22.53464066095987
2.8472153899972428e-05,13.541148596877276,54.164594387509105,-937.3108834994421,25.36873156853779
2.8699850650590502e-05,13.652251950952417,54.60900780380967,-839.7543907335537,25.83828497351271
2.8927547401208576e-05,13.756652061714432,55.02660824685773,-744.9307930287,23.939336497355555
2.915524415182665e-05,13.844909944013727,55.37963977605491,-661.4560123890909,19.885992699184605
2.9382940902444723e-05,13.908883376195023,55.63553350478009,-596.7588946261121,14.086813904309423
2.9610637653062797e-05,13.942499066950598,55.76999626780239,-556.4181165699817,7.104063112022007
2.980670304860907e-05,13.944397066228326,55.777588264913305,-543.7439226524225,0.6488068804448728
2.9806703048609288e-05,13.944397066228314,55.777588264913256,-543.7439226524201,0.6488068804376874
2.999999999999996e-05,13.933619441739033,55.73447776695613,-541.8692842936262,0.5147264282524026
3.0000000000000177e-05,13.93361944173902,55.73447776695608,-541.8692842936243,0.5147264282522492
3.000000000000051e-05,13.933619441739001,55.734477766956005,-541.8692842936215,0.5147264282520138
3.0000000000000726e-05,13.93361944173899,55.73447776695596,-541.8692842936193,0.51472642827263
3.0193296951391398e-05,13.953392018395077,55.813568073580306,-511.3092187518694,18.366996125181707
3.0343479486888993e-05,14.009403874256218,56.03761549702487,-449.0718344315887,31.256737712291212
3.0493662022386588e-05,14.09741151647484,56.38964606589936,-356.31021352936637,42.716238051316985
3.064384455788418e-05,14.212877843322072,56.85151137328829,-237.16551509931446,52.303515578059525
3.079402709338178e-05,14.350079637517975,57.4003185500719,-96.7847228876498,59.65817949796573
3.094420962887938e-05,14.502426230021825,58.0097049200873,58.90095747509741,64.5149551858813
